metric,domain,series,case,mean,std,count
utility,IS_BT_Acquisition,Transformer_expert,case4,0.844815,0.062261,1000
utility,IS_BT_Acquisition,Transformer_expert,case5,0.808804,0.111558,1000
utility,IS_BT_Acquisition,Transformer_expert,case6,0.839215,0.112230,1000
utility,IS_BT_Acquisition,Transformer_general,case1,0.859335,0.088095,1000
utility,IS_BT_Acquisition,Transformer_general,case2,0.817213,0.093029,1000
utility,IS_BT_Acquisition,Transformer_general,case3,0.834966,0.061721,1000
utility,IS_BT_Acquisition,Transformer_general,case4,0.716266,0.129848,1000
utility,IS_BT_Acquisition,Transformer_general,case5,0.710747,0.134584,1000
utility,IS_BT_Acquisition,Transformer_general,case6,0.839873,0.062054,1000
utility,Grocery,MiPN_expert,case1,0.630040,0.283938,1000
utility,Grocery,MiPN_expert,case2,0.650110,0.310119,1000
utility,Grocery,MiPN_expert,case3,0.648735,0.374186,1000
utility,Grocery,MiPN_expert,case4,0.777810,0.240309,1000
utility,Grocery,MiPN_expert,case5,0.690990,0.223993,1000
utility,Grocery,MiPN_expert,case6,0.759038,0.151095,1000
utility,Grocery,MiPN_general,case1,0.421470,0.163058,1000
utility,Grocery,MiPN_general,case2,0.351215,0.132804,1000
utility,Grocery,MiPN_general,case3,0.579640,0.217016,1000
utility,Grocery,MiPN_general,case4,0.645390,0.193561,1000
utility,Grocery,MiPN_general,case5,0.563650,0.313131,1000
utility,Grocery,MiPN_general,case6,0.768005,0.123431,1000
utility,Grocery,Transformer_expert,case1,0.645735,0.185371,1000
utility,Grocery,Transformer_expert,case2,0.660755,0.185248,1000
utility,Grocery,Transformer_expert,case3,0.739995,0.199810,1000
utility,Grocery,Transformer_expert,case4,0.779095,0.139991,1000
utility,Grocery,Transformer_expert,case5,0.784596,0.137406,1000
utility,Grocery,Transformer_expert,case6,0.842523,0.079194,1000
utility,Grocery,Transformer_general,case1,0.558285,0.186890,1000
utility,Grocery,Transformer_general,case2,0.511070,0.172710,1000
utility,Grocery,Transformer_general,case3,0.565900,0.220147,1000
utility,Grocery,Transformer_general,case4,0.723735,0.157501,1000
utility,Grocery,Transformer_general,case5,0.651848,0.106406,1000
utility,Grocery,Transformer_general,case6,0.671523,0.161871,1000
utility,thompson,MiPN_expert,case1,0.432300,0.331815,1000
utility,thompson,MiPN_expert,case2,0.700770,0.321605,1000
utility,thompson,MiPN_expert,case3,0.415205,0.340238,1000
utility,thompson,MiPN_expert,case4,0.379395,0.295685,1000
utility,thompson,MiPN_expert,case5,0.828906,0.237617,1000
utility,thompson,MiPN_expert,case6,0.594745,0.275732,1000
utility,thompson,MiPN_general,case1,0.371952,0.255508,1000
utility,thompson,MiPN_general,case2,0.464423,0.271873,1000
utility,thompson,MiPN_general,case3,0.216905,0.170344,1000
utility,thompson,MiPN_general,case4,0.236063,0.140489,1000
utility,thompson,MiPN_general,case5,0.569787,0.236193,1000
utility,thompson,MiPN_general,case6,0.586758,0.149518,1000
utility,thompson,Transformer_expert,case1,0.590035,0.191013,1000
utility,thompson,Transformer_expert,case2,0.631605,0.142015,1000
utility,thompson,Transformer_expert,case3,0.517388,0.168338,1000
utility,thompson,Transformer_expert,case4,0.548203,0.169528,1000
utility,thompson,Transformer_expert,case5,0.712076,0.115167,1000
utility,thompson,Transformer_expert,case6,0.664299,0.137711,1000
utility,thompson,Transformer_general,case1,0.500385,0.199719,1000
utility,thompson,Transformer_general,case2,0.545038,0.173441,1000
utility,thompson,Transformer_general,case3,0.404388,0.165781,1000
utility,thompson,Transformer_general,case4,0.608039,0.131238,1000
utility,thompson,Transformer_general,case5,0.667538,0.124060,1000
utility,thompson,Transformer_general,case6,0.670264,0.066896,1000
utility,Car,MiPN_expert,case1,0.196415,0.283467,1000
utility,Car,MiPN_expert,case2,0.297748,0.346251,1000
utility,Car,MiPN_expert,case3,0.702061,0.353788,1000
utility,Car,MiPN_expert,case4,0.806286,0.194178,1000
utility,Car,MiPN_expert,case5,0.545431,0.282109,1000
utility,Car,MiPN_expert,case6,0.668576,0.218375,1000
